strike,maturity_days,moneyness,w,price
1408.3059,330,1.1,call,34.83975815223786
1440.3129,330,1.125,call,24.466202771849506
1472.3198,330,1.15,call,16.43160427963044
1504.3268,330,1.175,call,10.634161031246087
1536.3337,330,1.2,call,6.722538771353547
1568.3407,330,1.225,call,4.20965269765098
960.2086,340,0.75,put,35.406413814684356
992.2155,340,0.775,put,40.6124117331368
1024.2225,340,0.8,put,46.39439875164889
1056.2294,340,0.825,put,52.800763329946584
1088.2364,340,0.85,put,59.88451941923632
1120.2433,340,0.875,put,67.704402178265
1152.2503,340,0.9,put,76.3263635904724
1184.2572,340,0.925,put,85.82560836580595
1216.2642,340,0.95,put,96.28933669016006
